id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,Ethnicity (Simplified),First Language,Nationality,Sex,Student Status
1b82ybxed6vx2431fr8vr7x2,APPROVED,2021-01-16T16:19:08Z,2021-01-16T16:22:56Z,227.655,28,120,3,96,2021-01-17T01:26:59Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,Yes
n7l1ztipvju8nn8rkz3cxqjg,APPROVED,2021-01-16T16:19:09Z,2021-01-16T16:23:09Z,240.157,57,286,0,100,2021-01-17T01:27:01Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
v8ufrck2u05pd6c9o54f7snu,APPROVED,2021-01-16T16:19:22Z,2021-01-16T16:23:43Z,261.292,39,30,0,100,2021-01-17T01:27:02Z,684BBD13,United States,United States,Part-Time,White,DATA EXPIRED,United States,Male,No
lbdb5y2u73zvbhs0wkyruguy,APPROVED,2021-01-16T16:19:29Z,2021-01-16T16:25:02Z,333.311,25,667,2,100,2021-01-17T01:27:05Z,684BBD13,United States,United States,Full-Time,White,English,United States,Female,No
hgh7s07jgz8vx9ja5y4ynccx,APPROVED,2021-01-16T16:19:24Z,2021-01-16T16:24:15Z,290.724,53,1595,0,100,2021-01-17T01:27:05Z,684BBD13,United States,United States,Part-Time,White,English,United States,Male,No
isschdyairqkgtdnpxhrpvy3,APPROVED,2021-01-16T16:19:27Z,2021-01-16T16:26:02Z,394.364,51,559,0,100,2021-01-17T01:27:10Z,684BBD13,United States,United States,Full-Time,White,English,United States,Female,No
ysiumest06qt3sywk5fzrhdg,APPROVED,2021-01-16T16:19:34Z,2021-01-16T16:24:18Z,283.939,48,1058,3,100,2021-01-17T01:27:14Z,684BBD13,United States,United States,Full-Time,White,English,United States,Male,No
5ug38mtplrtqg3dywuws7a9h,APPROVED,2021-01-16T16:20:01Z,2021-01-16T16:27:33Z,452.372,40,282,3,100,2021-01-17T01:27:15Z,684BBD13,United States,United States,Full-Time,White,DATA EXPIRED,United States,Male,No
l9kzqejsu3ke1pkjs19dps1m,APPROVED,2021-01-16T16:29:04Z,2021-01-16T16:33:57Z,292.998,66,1108,0,100,2021-01-17T01:27:18Z,684BBD13,United States,United States,Part-Time,White,English,United States,Male,No
bkdoublsy3twt1t5a1976yib,APPROVED,2021-01-16T16:19:41Z,2021-01-16T16:24:24Z,283.034,38,118,0,100,2021-01-17T01:27:20Z,684BBD13,United States,United States,Unemployed (and job seeking),White,DATA EXPIRED,United States,Male,No
