id,observers,protesters,protest,age,gender,exclude,q5,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q12_7,q12_8,q12_9,q12_10,q12_11,q12_12,q12_13,q12_14,q12_15,q12_16,q12_17,q12_18,q12_19,q12_20,q12_21,q12_22,q12_23,q12_24,q12_25,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,sjb_1,sjb_2,sjb_3,sjb_4,sjb_5,sjb_6,sjb_7,sjb_8,q14,q15,q16,q17,q18,q19_1,q21,attention_check_1,attention_check_2,attention_check_3
ve7wiedrvul2ynvyxkul3ogc,White,White,against,25,woman,FALSE,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,2,6,1,2,2,4,3,4,2,2,1,2,2,4,3,6,2,4,1,3,2,1,2,2,2
vfc6ots22gijd42wuusfn86n,Black,White,against,46,woman,FALSE,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,7,6,6,3,7,5,1,2,1,6,6,3,1,5,7,4,7,1,3,1,2,2,2,2
vggal4vcdasi8dagi9hrc25a,White,White,for,43,man,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,5,5,2,7,6,6,1,3,5,5,6,7,6,6,7,3,3,2,2,2,3,5,1,2,1,2
vgpq8p788slpiznn9f00ys3b,Black,White,against,26,woman,TRUE,5,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,7,2,2,1,6,1,2,1,1,2,2,1,2,1,7,1,6,5,1,1,4,NA,NA,NA
vilofwy20qfsk554zfwhybci,Black,Black,against,24,woman,FALSE,5,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,4,7,3,5,2,5,1,1,4,1,3,5,2,3,1,7,6,7,3,1,4,2,2,2,1
viufjhpjmao0w5adqjt0yn3l,Black,Black,against,27,man,TRUE,5,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,7,6,5,7,6,7,2,1,1,6,5,7,2,7,7,6,7,3,1,7,1,NA,NA,NA
vj01flcinpm1r80abizh405h,White,White,for,31,man,FALSE,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,3,3,3,4,4,3,4,4,3,5,3,4,4,5,4,4,3,4,3,1,3,1,2,1,2
vj6y5y0ewcn66dl9yiyocrwk,Black,Black,for,49,woman,FALSE,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,3,3,6,6,5,3,5,4,3,3,2,6,5,3,3,4,5,2,3,1,3,6,2,2,1,1
vjbuowyatut332k2eepgt80u,Black,Black,against,66,woman,FALSE,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,5,1,5,4,3,1,5,1,5,1,3,4,3,1,3,1,7,6,7,2,3,2,2,2,2,1
vkcckeb1uqq43nh2hldgnd0v,White,White,for,57,woman,FALSE,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,5,4,4,5,4,4,4,4,5,4,4,5,4,4,4,7,4,4,1,3,4,1,2,1,2
vkeu42knjp8f9opv86a1a99w,White,Black,for,20,man,FALSE,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,6,5,2,5,6,5,3,2,6,5,6,5,6,5,5,2,5,4,6,2,3,4,1,2,1,1
vmqmbv8s3rhrkqxp0v6svqvm,Black,Black,for,37,woman,FALSE,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,3,2,4,2,1,2,1,1,3,6,4,2,1,6,1,7,7,7,2,3,2,2,2,1,1
vnqbhfc8myzzqfivsb7xesky,White,Black,against,40,woman,FALSE,2,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,6,6,3,2,6,4,3,3,6,6,5,2,6,4,5,3,5,3,6,2,3,3,1,2,2,1
vow4w3g4ia1nvycr5qrqzseu,White,White,for,33,man,FALSE,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,3,7,1,1,1,1,1,1,3,1,1,1,1,4,1,3,4,1,2,1,2
vpfl2h08a4w83e5xkt2tc4kr,White,Black,for,27,man,FALSE,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,3,3,5,5,3,3,4,3,3,3,3,5,3,3,4,3,6,6,6,2,1,4,1,2,1,1
vpja6wdkkkwsy75l365l59t5,Black,White,for,57,woman,FALSE,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,2,5,4,3,2,3,2,2,2,3,4,3,2,5,2,7,5,7,2,3,1,2,2,1,2
vpt61xh7ftl6jltrpnwctbzv,White,Black,for,25,woman,TRUE,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,2,2,4,4,2,2,6,2,2,2,4,4,2,2,2,2,4,4,4,1,3,4,4,NA,NA,NA
vqs48o6ckm88r4675iulct6t,Black,White,for,28,man,FALSE,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,4,5,4,5,6,4,5,5,4,3,4,5,6,4,5,4,3,5,2,1,3,2,2,1,2
vr1cvneodz8lhej6er6mf4md,White,Black,against,32,man,FALSE,4,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,2,5,6,5,3,2,3,5,2,5,2,5,3,2,5,5,3,5,4,2,3,3,1,2,2,1
vrz6ye6y77yg3ekf90r7pc8y,White,White,for,56,woman,FALSE,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,5,3,3,1,3,1,2,2,3,3,3,1,5,1,7,4,5,1,3,3,1,2,1,2
vt3p5ncm98xsjdzlnfl9ks5s,Black,Black,against,26,woman,FALSE,5,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,5,2,6,1,3,2,5,3,5,2,2,1,3,2,3,3,7,1,5,1,3,2,2,2,2,1
vto2i9h7sxhq206w1a3ytkvj,Black,Black,against,23,man,FALSE,5,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,6,6,2,2,2,2,2,2,2,6,2,2,6,2,7,1,7,2,3,1,2,2,2,1
vuh1onihqq82sosq7rslrp3k,White,White,against,21,man,FALSE,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,2,2,5,2,2,3,4,3,2,2,3,2,2,3,4,3,6,5,4,2,3,3,1,2,2,2
vuv2skar3t2ua9wicjuyp14u,Black,White,for,18,woman,FALSE,4,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,1,2,4,6,2,4,5,3,1,6,4,6,2,4,5,6,5,7,3,3,2,2,2,1,2
vuxdnhshis16hxnrfw9kdnvf,White,White,for,29,woman,FALSE,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,6,1,3,1,4,2,2,2,2,1,3,1,4,2,7,6,7,2,1,1,1,2,1,2
vv7pnc7innfvw8m7pwhrypn6,Black,White,for,23,woman,FALSE,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,3,2,6,5,3,2,6,3,3,2,2,5,3,2,2,3,6,5,5,1,3,4,2,2,1,2
vvp5cmygzpdth5k9v0r82vps,Black,Black,against,66,woman,TRUE,5,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,7,6,1,1,6,1,1,1,1,6,1,1,2,1,7,7,7,3,2,1,2,2,1,1
vvw2jsygbq1324etymgphkuo,White,Black,against,33,woman,FALSE,2,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,3,5,4,4,3,3,5,3,3,5,4,4,3,3,3,3,7,4,5,1,3,2,1,2,2,1
vw47knjh3abq8ox684wd58ni,White,White,against,47,woman,FALSE,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,3,4,2,5,4,5,4,3,3,4,6,5,4,5,4,3,1,1,1,1,3,7,1,2,2,2
vx4n4dwpm3ylc5mx6gmu2rgi,Black,Black,for,20,sex and gender diverse,FALSE,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,7,1,1,1,7,1,1,1,1,1,1,1,1,1,7,7,7,2,3,1,2,2,1,1
vxsolrg9lgc6lhid12ahdbw6,White,Black,for,19,man,FALSE,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,2,2,6,2,2,1,6,2,2,2,2,2,2,1,2,2,7,7,7,2,3,1,1,2,1,1
vxvldwtfy21fq8qysylfk5n5,Black,White,for,22,woman,FALSE,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,7,1,1,1,5,1,1,1,1,1,1,1,3,1,7,7,7,2,1,1,2,2,1,2
vy5q6elzl186dwufm7ju7w2v,White,White,against,45,man,FALSE,4,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,5,3,4,5,3,5,3,5,5,3,4,5,3,5,5,5,5,4,5,3,3,5,1,2,2,2
vy6vrw2y8bkmmmuyk32dcycn,Black,Black,against,25,woman,FALSE,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,4,1,7,5,3,1,2,2,4,1,7,3,3,1,1,2,1,3,4,2,2,2,1
vyd73vtk0no823n8l3g29qvi,Black,White,against,23,man,TRUE,4,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,3,5,4,5,4,5,5,4,3,3,4,5,4,3,5,5,4,5,4,3,5,2,1,2,1
vydu4jt3rozq5y7dam0cxfaz,White,White,for,21,woman,FALSE,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,6,1,3,1,2,1,1,2,2,1,3,1,6,1,7,5,6,3,1,2,1,2,1,2
vyuaxdqt26k16cstyp814x14,White,White,for,21,man,FALSE,5,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,5,5,6,6,6,5,3,3,5,5,2,6,6,5,5,3,3,4,7,1,3,3,1,2,1,2
vz49g5utq6md6384mvemsht4,Black,Black,against,23,woman,FALSE,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,2,2,2,2,2,5,4,3,2,2,6,2,2,5,4,3,7,7,7,4,3,4,2,2,2,1
vzzutrrcef9nar254pu6o6e1,White,White,for,23,man,TRUE,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,1,7,1,2,1,4,1,2,1,1,1,2,1,4,1,7,7,4,3,1,1,4,NA,NA,NA
