id,sample,action,assigned,q1_1,q1_2,q1_3,q2,q3,action_text
1,with_degree,64,0,NA,NA,NA,NA,NA,refuse to eat (hunger strike)
1,with_degree,65,0,NA,NA,NA,NA,NA,"physically harm oneself (e.g., setting oneself on fire)"
1,with_degree,66,0,NA,NA,NA,NA,NA,"attack politicians with the intention of harming them (e.g., punching them)"
1,with_degree,67,0,NA,NA,NA,NA,NA,"attack politicians with the intention of killing them (e.g., stabbing them)"
1,with_degree,68,0,NA,NA,NA,NA,NA,"attack police officers and other government agents with the intention of harming them (e.g., punching them)"
1,with_degree,69,0,NA,NA,NA,NA,NA,"attack police officers and other government agents with the intention of killing them (e.g., stabbing them)"
1,with_degree,70,1,4,4,4,1,5,"attack individuals who oppose the cause with the intention of harming them (e.g., punching them)"
1,with_degree,71,0,NA,NA,NA,NA,NA,"attack individuals who oppose the cause with the intention of killing them (e.g., stabbing them)"
1,with_degree,72,0,NA,NA,NA,NA,NA,"attack members of the public (e.g., by setting off a bomb in a public place)"
2,with_degree,1,1,1,1,1,4,2,sign or start a petition
2,with_degree,2,0,NA,NA,NA,NA,NA,"hand out flyers, leaflets, or pamphlets"
2,with_degree,3,0,NA,NA,NA,NA,NA,paste up posters with political messages in places where it is allowed and encouraged
2,with_degree,4,1,1,1,1,4,2,hold meetings to inform the public
2,with_degree,5,0,NA,NA,NA,NA,NA,hold meetings to influence the public
2,with_degree,6,0,NA,NA,NA,NA,NA,make a public speech
2,with_degree,7,0,NA,NA,NA,NA,NA,"get involved in the media (e.g., newspapers, radio, television) to inform the public"
2,with_degree,8,1,1,1,1,5,1,"get involved in the media (e.g., newspapers, radio, television) to influence the public"
2,with_degree,9,1,1,1,1,4,2,"use social media (e.g., Facebook, Twitter, Instagram) to inform the public"
2,with_degree,10,0,NA,NA,NA,NA,NA,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public"
2,with_degree,11,1,1,1,1,3,3,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion"
2,with_degree,12,1,1,1,1,4,2,"pay for adverts in the media (e.g., newspapers, radio, television) to influence public opinion"
2,with_degree,13,0,NA,NA,NA,NA,NA,"visit people in their homes to inform them about an issue (canvassing, door knocking)"
2,with_degree,14,0,NA,NA,NA,NA,NA,"visit people in their homes to convince them about an issue (canvassing, door knocking)"
2,with_degree,15,0,NA,NA,NA,NA,NA,spread misinformation to influence public opinion
2,with_degree,16,1,3,2,3,1,4,spread rumours about politicians who oppose the cause
2,with_degree,17,0,NA,NA,NA,NA,NA,wear or display political symbols
2,with_degree,18,0,NA,NA,NA,NA,NA,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem)"
2,with_degree,19,0,NA,NA,NA,NA,NA,deface flags or other national symbols
2,with_degree,20,1,3,2,3,3,3,attend or organise a protest march
2,with_degree,21,0,NA,NA,NA,NA,NA,attend or organise a protest rally
2,with_degree,22,0,NA,NA,NA,NA,NA,"stand or sit in a building and refuse to leave (stand-in, sit-in)"
2,with_degree,23,0,NA,NA,NA,NA,NA,enter and refuse to leave a building (occupation)
2,with_degree,24,1,1,1,1,4,1,join or form a trade/labor union
2,with_degree,25,0,NA,NA,NA,NA,NA,join or form a group of activists
2,with_degree,26,0,NA,NA,NA,NA,NA,join or form a political party
2,with_degree,27,1,1,1,1,3,3,donate to political parties who support the cause
2,with_degree,28,0,NA,NA,NA,NA,NA,donate to political parties to make them change their position on an issue
2,with_degree,29,1,1,1,1,3,3,donate to activist groups who support the cause
2,with_degree,30,0,NA,NA,NA,NA,NA,donate to charities who support the cause
2,with_degree,31,0,NA,NA,NA,NA,NA,voting for candidates/parties
2,with_degree,32,0,NA,NA,NA,NA,NA,"write letters to politicians, representatives and elected officials"
2,with_degree,33,0,NA,NA,NA,NA,NA,stand in an election
2,with_degree,34,0,NA,NA,NA,NA,NA,boycott an election by not voting or spoiling one's ballot
2,with_degree,35,1,1,1,1,4,2,participate in a public meeting of representatives and elected officials
2,with_degree,36,0,NA,NA,NA,NA,NA,"refuse to pay fees, fines, and taxes"
2,with_degree,37,0,NA,NA,NA,NA,NA,refuse to cooperate with the police and other government agencies
2,with_degree,38,0,NA,NA,NA,NA,NA,refuse to work (strike)
2,with_degree,39,0,NA,NA,NA,NA,NA,refuse to pay rent (rent strike)
2,with_degree,40,0,NA,NA,NA,NA,NA,"refuse service (e.g., in a restaurant or shop) to individuals who oppose the cause"
2,with_degree,41,0,NA,NA,NA,NA,NA,"refuse service (e.g., in a restaurant or shop) to politicians who oppose the cause"
2,with_degree,42,0,NA,NA,NA,NA,NA,refuse to interact with or acknowledge individuals who oppose the cause
2,with_degree,43,1,2,3,4,2,4,refuse to interact with or acknowledge politicians who oppose the cause
2,with_degree,44,0,NA,NA,NA,NA,NA,do not buy goods or services from companies who oppose the cause (consumers' boycott)
2,with_degree,45,1,3,2,3,2,4,refuse to accept honours or awards in protest
2,with_degree,46,0,NA,NA,NA,NA,NA,"disrupt traffic (e.g., blocking roads)"
2,with_degree,47,0,NA,NA,NA,NA,NA,"disrupt public services (e.g., shutting down government websites)"
2,with_degree,48,0,NA,NA,NA,NA,NA,"disrupt private life of politicians (e.g., protesting outside their home)"
2,with_degree,49,0,NA,NA,NA,NA,NA,"disrupt public events (e.g., a sports game) with a political message"
2,with_degree,50,0,NA,NA,NA,NA,NA,paste up posters with political messages in places where it is not allowed or encouraged
2,with_degree,51,1,4,3,4,1,5,spray paint political messages in public places
2,with_degree,52,1,4,4,4,1,5,"damage private property (e.g., cars or houses)"
2,with_degree,53,0,NA,NA,NA,NA,NA,"damage commerical property (e.g., shop windows)"
2,with_degree,54,0,NA,NA,NA,NA,NA,"damage public property (e.g., goverment buildings)"
2,with_degree,55,0,NA,NA,NA,NA,NA,mock or insult politicians who oppose the cause
2,with_degree,56,0,NA,NA,NA,NA,NA,mock or insult individuals who oppose the cause
2,with_degree,57,0,NA,NA,NA,NA,NA,"soil politicians who oppose the cause (e.g., throwing eggs at them)"
2,with_degree,58,0,NA,NA,NA,NA,NA,threaten politicians who oppose the cause with physical harm
2,with_degree,59,0,NA,NA,NA,NA,NA,threaten individuals who oppose the cause with physical harm
2,with_degree,60,0,NA,NA,NA,NA,NA,"threaten to attack members of the public (e.g., by making a bomb threat)"
2,with_degree,61,0,NA,NA,NA,NA,NA,"bribe politicians, representatives, and other elected officials"
2,with_degree,62,0,NA,NA,NA,NA,NA,blackmail politicians who oppose the cause
2,with_degree,63,1,2,3,4,2,4,blackmail individuals who oppose the cause
2,with_degree,64,0,NA,NA,NA,NA,NA,refuse to eat (hunger strike)
2,with_degree,65,0,NA,NA,NA,NA,NA,"physically harm oneself (e.g., setting oneself on fire)"
2,with_degree,66,1,4,4,4,2,4,"attack politicians with the intention of harming them (e.g., punching them)"
2,with_degree,67,0,NA,NA,NA,NA,NA,"attack politicians with the intention of killing them (e.g., stabbing them)"
2,with_degree,68,1,4,4,4,1,5,"attack police officers and other government agents with the intention of harming them (e.g., punching them)"
2,with_degree,69,0,NA,NA,NA,NA,NA,"attack police officers and other government agents with the intention of killing them (e.g., stabbing them)"
2,with_degree,70,1,4,4,4,2,5,"attack individuals who oppose the cause with the intention of harming them (e.g., punching them)"
2,with_degree,71,0,NA,NA,NA,NA,NA,"attack individuals who oppose the cause with the intention of killing them (e.g., stabbing them)"
2,with_degree,72,0,NA,NA,NA,NA,NA,"attack members of the public (e.g., by setting off a bomb in a public place)"
3,with_degree,1,1,1,1,1,5,1,sign or start a petition
3,with_degree,2,1,3,2,3,4,2,"hand out flyers, leaflets, or pamphlets"
3,with_degree,3,0,NA,NA,NA,NA,NA,paste up posters with political messages in places where it is allowed and encouraged
3,with_degree,4,0,NA,NA,NA,NA,NA,hold meetings to inform the public
3,with_degree,5,0,NA,NA,NA,NA,NA,hold meetings to influence the public
3,with_degree,6,0,NA,NA,NA,NA,NA,make a public speech
3,with_degree,7,1,1,1,1,5,1,"get involved in the media (e.g., newspapers, radio, television) to inform the public"
3,with_degree,8,0,NA,NA,NA,NA,NA,"get involved in the media (e.g., newspapers, radio, television) to influence the public"
3,with_degree,9,0,NA,NA,NA,NA,NA,"use social media (e.g., Facebook, Twitter, Instagram) to inform the public"
3,with_degree,10,0,NA,NA,NA,NA,NA,"use social media (e.g., Facebook, Twitter, Instagram) to influence the public"
3,with_degree,11,1,2,1,2,2,2,"pay for adverts on social media (e.g., Facebook, Twitter, Instagram) to influence public opinion"
3,with_degree,12,0,NA,NA,NA,NA,NA,"pay for adverts in the media (e.g., newspapers, radio, television) to influence public opinion"
3,with_degree,13,1,1,1,1,5,1,"visit people in their homes to inform them about an issue (canvassing, door knocking)"
3,with_degree,14,0,NA,NA,NA,NA,NA,"visit people in their homes to convince them about an issue (canvassing, door knocking)"
3,with_degree,15,0,NA,NA,NA,NA,NA,spread misinformation to influence public opinion
3,with_degree,16,0,NA,NA,NA,NA,NA,spread rumours about politicians who oppose the cause
3,with_degree,17,0,NA,NA,NA,NA,NA,wear or display political symbols
3,with_degree,18,1,3,2,3,2,4,"refuse to honour national symbols and traditions (e.g., refusing to sing the national anthem)"
3,with_degree,19,0,NA,NA,NA,NA,NA,deface flags or other national symbols
3,with_degree,20,0,NA,NA,NA,NA,NA,attend or organise a protest march
3,with_degree,21,0,NA,NA,NA,NA,NA,attend or organise a protest rally
3,with_degree,22,1,4,1,1,2,2,"stand or sit in a building and refuse to leave (stand-in, sit-in)"
3,with_degree,23,0,NA,NA,NA,NA,NA,enter and refuse to leave a building (occupation)
3,with_degree,24,0,NA,NA,NA,NA,NA,join or form a trade/labor union
3,with_degree,25,1,3,3,4,2,4,join or form a group of activists
3,with_degree,26,0,NA,NA,NA,NA,NA,join or form a political party
3,with_degree,27,1,1,1,1,4,2,donate to political parties who support the cause
3,with_degree,28,0,NA,NA,NA,NA,NA,donate to political parties to make them change their position on an issue
3,with_degree,29,0,NA,NA,NA,NA,NA,donate to activist groups who support the cause
3,with_degree,30,1,1,1,1,5,1,donate to charities who support the cause
3,with_degree,31,1,2,3,2,2,3,voting for candidates/parties
3,with_degree,32,0,NA,NA,NA,NA,NA,"write letters to politicians, representatives and elected officials"
3,with_degree,33,0,NA,NA,NA,NA,NA,stand in an election
3,with_degree,34,0,NA,NA,NA,NA,NA,boycott an election by not voting or spoiling one's ballot
3,with_degree,35,0,NA,NA,NA,NA,NA,participate in a public meeting of representatives and elected officials
3,with_degree,36,0,NA,NA,NA,NA,NA,"refuse to pay fees, fines, and taxes"
3,with_degree,37,0,NA,NA,NA,NA,NA,refuse to cooperate with the police and other government agencies
3,with_degree,38,0,NA,NA,NA,NA,NA,refuse to work (strike)
3,with_degree,39,0,NA,NA,NA,NA,NA,refuse to pay rent (rent strike)
3,with_degree,40,1,2,2,2,2,3,"refuse service (e.g., in a restaurant or shop) to individuals who oppose the cause"
3,with_degree,41,0,NA,NA,NA,NA,NA,"refuse service (e.g., in a restaurant or shop) to politicians who oppose the cause"
3,with_degree,42,1,2,1,2,3,2,refuse to interact with or acknowledge individuals who oppose the cause
3,with_degree,43,0,NA,NA,NA,NA,NA,refuse to interact with or acknowledge politicians who oppose the cause
3,with_degree,44,0,NA,NA,NA,NA,NA,do not buy goods or services from companies who oppose the cause (consumers' boycott)
3,with_degree,45,0,NA,NA,NA,NA,NA,refuse to accept honours or awards in protest
3,with_degree,46,0,NA,NA,NA,NA,NA,"disrupt traffic (e.g., blocking roads)"
3,with_degree,47,0,NA,NA,NA,NA,NA,"disrupt public services (e.g., shutting down government websites)"
3,with_degree,48,0,NA,NA,NA,NA,NA,"disrupt private life of politicians (e.g., protesting outside their home)"
3,with_degree,49,0,NA,NA,NA,NA,NA,"disrupt public events (e.g., a sports game) with a political message"
3,with_degree,50,0,NA,NA,NA,NA,NA,paste up posters with political messages in places where it is not allowed or encouraged
3,with_degree,51,1,2,3,1,2,3,spray paint political messages in public places
3,with_degree,52,0,NA,NA,NA,NA,NA,"damage private property (e.g., cars or houses)"
3,with_degree,53,0,NA,NA,NA,NA,NA,"damage commerical property (e.g., shop windows)"
3,with_degree,54,0,NA,NA,NA,NA,NA,"damage public property (e.g., goverment buildings)"
3,with_degree,55,1,2,1,2,2,4,mock or insult politicians who oppose the cause
