id,sample,gender,q2,q3,q4,q4_1_text,q5,q6,q8,q9,q10,q12_1,q12_2,q12_3,q13_1,q13_2,q13_3,exclude
04u9sf5paudi1lf3tg2jkom8,WJ,male,Male,36,0,NA,0,1,NA,2,4,4,4,6,6,4,5,TRUE
2us0ifd437fldapune7qy3t9,WJ,male,male,40,0,NA,0,1,NA,1,5,4,4,4,4,4,4,TRUE
3ppl4tdd7ikxnxkx9uzgk4q2,WJ,female,Female,30,0,NA,0,1,NA,2,1,4,4,3,4,4,3,TRUE
imt27hiwgosva6vyez98wyzp,PJ,male,male,38,0,NA,0,1,NA,2,2,5,6,4,3,5,3,TRUE
8wxdm3ksgg6mryj50balfrbj,PJ,male,Male,45,1,Uk,0,1,NA,2,5,4,4,2,4,4,3,FALSE
wphvmiewjyahdlfengal6zm1,WJ,female,Female,57,0,NA,0,1,NA,1,4,4,3,2,4,5,6,TRUE
rcehzngmsezl22w0vd3tzgfk,PJ,male,Male,67,0,NA,0,0,2,NA,5,4,4,4,4,3,3,TRUE
1kr717lzbojlr1a6ozfjxmxf,PJ,female,Female,44,0,NA,0,1,NA,2,6,6,7,6,3,3,3,TRUE
969z9ol0ili3cyytx396k7gd,PJ,male,male,73,0,NA,0,0,2,NA,2,7,7,6,1,2,1,TRUE
iwqjrlnvxesgshm6w78iu8eq,PJ,male,Male,56,0,NA,0,1,NA,2,5,6,5,4,3,4,4,TRUE
8er4g7yd1hbme899udltk5c5,PJ,female,Female,33,0,NA,0,1,NA,2,2,7,7,6,2,2,2,TRUE
o4fzlbnroowroqtqnd0r1875,PJ,female,Female,29,0,NA,0,1,NA,2,3,4,4,4,3,3,3,TRUE
bwrsbrcfl5m9my4cq2lrttf8,PJ,male,Male,36,1,United Kingdom,0,1,NA,2,6,6,1,2,6,2,2,FALSE
46s2enih19i61du8ey4j29rs,WJ,female,Female,59,0,NA,0,0,1,NA,4,4,4,2,5,5,5,TRUE
6l0v1wj7slmjk4tfls3gyt7n,PJ,female,Female,29,0,NA,0,1,NA,2,1,2,2,2,3,3,3,TRUE
