id,age,highest_education_level,sex,employment_status,nationality,country_of_birth,first_language,socioeconomic_status,current_country_of_residence,student_status
o5pc9cgnhxpvyvu5xt9qcra4,65,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,NA,No
6ix7m7ik8i1ml1lqs0yuaf9r,32,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
8g3irbkfl81sdy92oz18ldj5,48,Secondary school/GCSE,Male,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
3me3lij1cx6r8ytbttbd9vo6,44,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,NA,No
6c7q7ru1plq96pgylb7hmdxb,46,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,India,English,3,NA,No
cbzo6e17uo1641s02d787zyt,55,Secondary school/GCSE,Female,Full-Time,United Kingdom,United Kingdom,English,3,NA,No
nz5zg821ad8zmt47lq2m0z91,56,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
3ia57gozrlt5tc8cnlajnq9w,27,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
o88da7uj8j6pdesdtid5hxtc,47,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
2kjwcanafb9pueolozm2w1kg,42,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
i0dlt7885ov9szfuoou80jao,37,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
q2ch8vh6f0cmdxpbery3mnwv,28,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
bk26jeuym45fpz44zjtmx4pj,36,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
fs0f1z5bd8s2ks9n4bh6knbb,37,College/A levels,Female,Unemployed (and job seeking),United Kingdom,United Kingdom,English,3,NA,No
0c9a197ev8xs38754mlg7n5n,43,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,NA,No
vvp5cmygzpdth5k9v0r82vps,28,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
1n81bz8qzoirbslcsux2jeyp,25,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,NA,No
41spj8s29tg5uoclrlx7239j,61,Secondary school/GCSE,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
v9xypz8g5ymtlrm0qogsub7p,44,College/A levels,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,3,United Kingdom,No
tk1bd0ck1z6tnvgzvb4d539x,27,Secondary school/GCSE,Male,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,2,United Kingdom,No
w1ieaf2x60nwo1pcbzz1jvs0,52,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
0gljlyh2alem2lgqhwyl60py,40,College/A levels,Male,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
2efsm2t5nx3zywladksr3d0s,28,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
fs66maq7beiyu2v46tv58jco,35,Secondary school/GCSE,Male,Unemployed (and job seeking),United Kingdom,United Kingdom,English,1,United Kingdom,No
45chokjh7wb6zhzbxr71b4ni,28,College/A levels,Female,Full-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
33svgmewzsfym9qzd2cxjyal,33,College/A levels,Female,Other,United Kingdom,United Kingdom,English,2,United Kingdom,No
khxalp7jfnf1436ledztao2a,64,College/A levels,Female,"Not in paid work (e.g. homemaker', 'retired or disabled)",United Kingdom,United Kingdom,English,1,United Kingdom,No
dhulsw0niw9y7vnoz9uxenev,39,College/A levels,Female,Part-Time,United Kingdom,United Kingdom,English,3,United Kingdom,No
jpnutdkl1td8lu4lvlioc26c,36,Secondary school/GCSE,Male,Other,United Kingdom,United Kingdom,English,3,United Kingdom,No
en339s4r742ayrnqtpvah8jv,28,Secondary school/GCSE,Female,Part-Time,United Kingdom,United Kingdom,English,2,United Kingdom,No
